map_name,raw_box_size_pixel,raw_pixel_size_angstrom
emd_40235,320,1.11
emd_40236,320,1.11
emd_40237,320,1.11
emd_40890,320,1.26
emd_14989,448,0.862
emd_14995,380,0.65
emd_15011,384,0.654
emd_15012,384,0.654
emd_15014,384,0.654
emd_15553,400,1.06
emd_29425,600,0.908
emd_16649,600,1.34
emd_13982,540,0.83
emd_14925,256,1.0635
emd_16445,384,0.85999995
emd_17085,432,0.65099996
emd_26814,360,1.068
emd_28858,288,1.16
emd_28860,360,0.84
emd_29428,256,1.05
emd_29431,256,1.05
emd_29432,256,1.05
emd_29434,256,1.05
emd_29436,256,1.05
emd_29438,256,1.05
emd_29444,256,1.05
emd_29460,256,1.05
emd_29461,256,1.05
emd_29462,256,1.05
emd_29463,256,1.05
emd_29464,256,1.05
emd_29465,256,1.053
emd_29467,256,1.053
emd_29468,256,1.053
emd_29469,256,1.053
emd_29471,256,1.053
emd_29472,256,1.053
emd_29474,256,1.053
emd_29476,256,1.053
emd_29477,256,1.053
emd_29527,512,0.52
emd_29528,512,0.52
emd_29529,512,0.52
emd_40038,256,1.08
emd_40246,400,0.832
emd_40247,400,0.832
emd_40554,440,1.447
emd_14146,520,1.05
emd_14851,360,0.83100003
emd_14862,200,1.2463
emd_15471,256,1.145
emd_16147,216,1.026
emd_16449,200,1.134
emd_16826,400,0.76
emd_26811,200,1.62
emd_26815,240,1.068
emd_26985,256,1.083
emd_26998,300,0.852
emd_27000,300,0.852
emd_27001,300,0.852
emd_27006,300,0.852
emd_27007,300,0.852
emd_28107,216,1.08
emd_28262,300,1.08
emd_28263,300,1.08
emd_28264,300,1.08
emd_28859,320,0.84
emd_28959,192,1.079
emd_29684,320,0.825
emd_29740,220,0.83
emd_29981,256,0.825
emd_29982,256,0.785
emd_29983,320,0.645
emd_34225,384,0.73
emd_34276,192,1.3866669
emd_34277,256,1.04
emd_34278,256,1.04
emd_34470,512,0.752
emd_34842,256,0.824
emd_34843,200,1.04
emd_34846,250,0.824
emd_40036,256,0.95
emd_40044,416,0.743
emd_40045,256,1.08
emd_14859,300,0.831
emd_16148,216,1.026
emd_16149,216,1.016
emd_16223,360,1.06
emd_16335,400,1.05
emd_26859,256,1.07325
emd_27807,288,0.88
emd_28101,216,1.08
emd_28214,300,1.08
emd_28217,300,1.08
emd_28232,300,1.08
emd_28571,440,0.85
emd_28572,440,0.85
emd_28756,400,1.32
emd_29017,600,0.825
emd_29329,240,0.9
emd_29657,300,0.86
emd_29773,360,1.3
emd_29775,360,1.3
emd_29984,320,0.8349999
emd_33513,288,0.9599999
emd_33599,350,1.38
emd_34094,384,0.82
emd_34095,384,0.82
emd_34469,512,0.752
emd_34488,512,0.752
emd_35302,480,1.37
emd_40162,304,1.096
emd_40228,720,1.85
emd_40671,276,0.86
emd_14804,416,1.41
emd_16336,300,1.05
emd_16339,300,1.05
emd_26915,300,1.08
emd_27804,288,0.88
emd_27805,288,0.88
emd_28271,300,1.08
emd_28377,300,1.08
emd_28465,300,1.08
emd_28554,320,0.88
emd_28573,360,0.85
emd_29772,360,1.3
emd_32074,480,1.087
emd_33169,256,0.829
emd_33205,256,1.082
emd_33229,180,1.087
emd_33238,256,1.1
emd_33239,256,1.1
emd_33240,384,1.1
emd_33322,200,1.052
emd_33354,300,0.87
emd_33356,300,0.87
emd_33358,300,0.87
emd_33474,240,1.014
emd_33512,256,0.96
emd_34996,320,1.06
emd_34997,320,1.06
emd_35000,320,1.06
emd_35004,320,1.06
emd_35092,360,1.087
emd_35093,360,1.087
emd_14760,400,0.573
emd_16338,400,1.05
emd_16343,400,1.05
emd_16365,300,1.05
emd_16366,200,1.05
emd_16368,200,1.05
emd_16369,400,1.05
emd_16703,384,0.93
emd_16706,384,0.93
emd_16884,320,1.25
emd_26004,288,1.06
emd_26740,256,1.07325
emd_27823,324,1.16
emd_27826,512,1.04
emd_29286,288,0.85
emd_29287,320,0.82
emd_29514,352,0.852
emd_29561,240,1.115
emd_29564,240,1.115
emd_29565,240,1.115
emd_29673,384,0.833
emd_29777,360,1.3
emd_29895,320,0.83500004
emd_29949,320,0.8349999
emd_33401,480,1.014
emd_33671,200,1.0825
emd_33675,200,1.0825
emd_33737,384,1.04
emd_34736,384,1.04
emd_34935,400,1.087
emd_35094,360,1.087
emd_35095,360,1.087
emd_35329,240,1.37
emd_35430,400,1.25
emd_35431,400,1.25
emd_40059,220,1.33
emd_14754,280,0.837
emd_14755,280,0.837
emd_14756,280,0.837
emd_14757,280,0.837
emd_14758,380,0.573
emd_14759,280,0.837
emd_14761,280,0.837
emd_14762,280,1.046
emd_15231,326,0.8600001
emd_16705,384,0.93
emd_16707,384,0.93
emd_16708,384,0.93
emd_16709,384,0.93
emd_16710,384,0.93
emd_16711,384,0.93
emd_16712,384,0.93
emd_26706,320,1.083
emd_26722,384,1.0428
emd_28162,320,0.855
emd_28200,320,0.873
emd_28556,200,1.1
emd_28557,200,1.1
emd_29284,288,0.85
emd_29735,300,1.08
emd_29910,400,1.05
emd_32873,200,1.38
emd_32952,288,0.685
emd_33022,320,1.088
emd_33256,400,0.675
emd_33472,240,1.014
emd_33475,240,1.014
emd_33674,200,1.0825
emd_33756,196,1.1
emd_34427,384,1.1
emd_34686,512,0.82
emd_35628,240,1.014
emd_40303,224,0.95
emd_14639,288,0.837
emd_14669,288,0.837
